,n_HeavyAtomCount,LogP,n_SMILES
913,H21,P170,5832466
914,H21,P180,5915460
915,H21,P190,5991768
916,H21,P200,6026820
917,H21,P210,6120703
918,H21,P220,6084129
919,H21,P230,6039278
920,H21,P240,6012212
921,H21,P250,5841441
922,H21,P260,5651745
923,H21,P270,5477294
924,H21,P280,5244893
925,H21,P290,5021779
926,H21,P300,4783225
927,H21,P310,4582247
928,H21,P320,4315542
929,H21,P330,4054940
930,H21,P340,3823700
931,H21,P350,3597523
932,H21,P360,3339671
933,H21,P370,3093969
934,H21,P380,2869161
935,H21,P390,2601082
936,H21,P400,2390252
937,H21,P410,2166398
938,H21,P420,1935255
939,H21,P430,1738707
940,H21,P440,1554576
941,H21,P450,1339951
942,H21,P460,1180544
943,H21,P470,1022440
944,H21,P480,871873
945,H21,P490,741928
946,H21,P500,2927302
947,H21,P600,205770
948,H21,P700,4296
949,H21,P800,32
950,H21,P900,2
951,H22,M000,20315977
952,H22,M100,4932743
953,H22,M200,751931
954,H22,M300,67186
955,H22,M400,3090
956,H22,M500,63
957,H22,P000,3562159
958,H22,P010,3956826
959,H22,P020,4386850
960,H22,P030,4719681
961,H22,P040,5171223
962,H22,P050,5589145
963,H22,P060,5951937
964,H22,P070,6313424
965,H22,P080,6734886
966,H22,P090,7078537
967,H22,P100,7495561
968,H22,P110,7941839
969,H22,P120,8265281
970,H22,P130,8731681
971,H22,P140,9141833
972,H22,P150,9349893
973,H22,P160,9566853
974,H22,P170,9697047
975,H22,P180,9755002
976,H22,P190,9799489
977,H22,P200,9462161
978,H22,P210,9396695
979,H22,P220,9454135
980,H22,P230,9358778
981,H22,P240,9298816
982,H22,P250,9155127
983,H22,P260,8862422
984,H22,P270,8646572
985,H22,P280,8394221
986,H22,P290,7969194
987,H22,P300,7456264
988,H22,P310,7127569
989,H22,P320,6672873
990,H22,P330,6224169
991,H22,P340,5844859
992,H22,P350,5456092
993,H22,P360,5063628
994,H22,P370,4690692
995,H22,P380,4358535
996,H22,P390,4019431
997,H22,P400,3671501
998,H22,P410,3367734
999,H22,P420,3045298
1000,H22,P430,2743444
1001,H22,P440,2476842
1002,H22,P450,2176046
1003,H22,P460,1925313
1004,H22,P470,1697227
1005,H22,P480,1476797
1006,H22,P490,1270615
1007,H22,P500,5374767
1008,H22,P600,447014
1009,H22,P700,11083
1010,H22,P800,88
1011,H22,P900,3
1012,H23,M000,32578045
1013,H23,M100,7809728
1014,H23,M200,1237798
1015,H23,M300,117158
1016,H23,M400,6275
1017,H23,M500,130
1018,H23,P000,5682000
